State,Date,Case
Australian Capital Territory,Jan,0
Australian Capital Territory,Feb,0
Australian Capital Territory,Mar,585
Australian Capital Territory,Apr,3013
Australian Capital Territory,May,2994
Australian Capital Territory,Jun,1077
Australian Capital Territory,Jul,2247
Australian Capital Territory,Aug,2034
Australian Capital Territory,Sep,791
Australian Capital Territory,Oct,339
New South Western Australiales,Jan,15
New South Western Australiales,Feb,100
New South Western Australiales,Mar,22464
New South Western Australiales,Apr,85378
Northern Territory,May,186177
Northern Territory,Jun,91049
Northern Territory,Jul,104134
Northern Territory,Aug,116160
Northern Territory,Sep,119505
Northern Territory,Oct,44713
Queensland,Jan,3
Queensland,Feb,36
Queensland,Mar,6459
Queensland,Apr,31035
Queensland,May,29383
Queensland,Jun,17016
Queensland,Jul,15025
Queensland,Aug,13125
Queensland,Sep,15966
Queensland,Oct,1160
South Australia,Jan,0
South Australia,Feb,11
South Australia,Mar,2673
South Australia,Apr,11880
South Australia,May,9659
South Australia,Jun,4843
South Australia,Jul,3123
South Australia,Aug,3203
South Australia,Sep,1397
South Australia,Oct,472
Tasmania,Jan,0
Tasmania,Feb,0
Tasmania,Mar,561
Tasmania,Apr,3906
Tasmania,May,4535
Tasmania,Jun,1824
Tasmania,Jul,458
Tasmania,Aug,230
Tasmania,Sep,0
Tasmania,Oct,0
Victoria,Jan,6
Victoria,Feb,4
Victoria,Mar,7743
Victoria,Apr,39133
Victoria,May,48932
Victoria,Jun,52131
Victoria,Jul,164537
Victoria,Aug,500662
Victoria,Sep,575985
Victoria,Oct,242819
Western Australia,Jan,0
Western Australia,Feb,3
Western Australia,Mar,2770
Western Australia,Apr,15323
Western Australia,May,16233
Western Australia,Jun,16251
Western Australia,Jul,17334
Western Australia,Aug,16197
Western Australia,Sep,12631
Western Australia,Oct,5508
